# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2018-06-26,BITCOIN-USD,5797,1630,3361,174,82,-1731.0,2018-06-29
2018-07-03,BITCOIN,2514,1198,1639,44,84,-441.0,2018-07-06
2018-07-03,BITCOIN-USD,5254,1278,2852,239,0,-1574.0,2018-07-06
2018-07-10,BITCOIN,2622,1412,1652,0,119,-240.0,2018-07-13
2018-07-10,BITCOIN-USD,5225,1263,2635,200,42,-1372.0,2018-07-13
2018-07-17,BITCOIN,2854,1469,1990,25,89,-521.0,2018-07-20
2018-07-17,BITCOIN-USD,5122,1245,2325,112,0,-1080.0,2018-07-20
2018-07-24,BITCOIN,3431,1353,2313,44,164,-960.0,2018-07-27
2018-07-24,BITCOIN-USD,4741,1077,2411,100,0,-1334.0,2018-07-27
2018-07-31,BITCOIN,3063,1722,1969,0,209,-247.0,2018-08-03
2018-07-31,BITCOIN-USD,4671,1353,2390,25,79,-1037.0,2018-08-03
2018-08-07,BITCOIN,2732,1481,1454,0,143,27.0,2018-08-10
2018-08-07,BITCOIN-USD,4454,754,1795,26,0,-1041.0,2018-08-10
2018-08-14,BITCOIN,2983,2065,1766,0,215,299.0,2018-08-17
2018-08-14,BITCOIN-USD,4548,875,1845,48,58,-970.0,2018-08-17
2018-08-21,BITCOIN,2981,2104,1838,0,191,266.0,2018-08-24
2018-08-21,BITCOIN-USD,4069,943,1749,73,0,-806.0,2018-08-24
2018-08-28,BITCOIN,2840,1688,1745,67,170,-57.0,2018-08-31
2018-08-28,BITCOIN-USD,4089,809,1760,92,0,-951.0,2018-08-31
2018-09-04,BITCOIN,2707,1187,1657,99,140,-470.0,2018-09-07
2018-09-04,BITCOIN-USD,3940,836,1378,83,0,-542.0,2018-09-07
2018-09-11,BITCOIN,2711,1630,1322,0,199,308.0,2018-09-14
2018-09-11,BITCOIN-USD,4278,973,1499,96,47,-526.0,2018-09-14
2018-09-18,BITCOIN,2742,1566,1382,0,140,184.0,2018-09-21
2018-09-18,BITCOIN-USD,4844,1204,2063,78,0,-859.0,2018-09-21
2018-09-25,BITCOIN,2746,1412,1420,0,131,-8.0,2018-09-28
2018-09-25,BITCOIN-USD,3815,721,1948,27,0,-1227.0,2018-09-28
2018-10-02,BITCOIN,2354,1237,1342,26,125,-105.0,2018-10-05
2018-10-02,BITCOIN-USD,4063,893,1809,0,0,-916.0,2018-10-05
2018-10-09,BITCOIN,2848,1643,1656,0,121,-13.0,2018-10-12
2018-10-09,BITCOIN-USD,4028,1099,1675,0,0,-576.0,2018-10-12
2018-10-16,BITCOIN,2730,1606,1620,54,108,-14.0,2018-10-19
2018-10-16,BITCOIN-USD,4262,1096,1723,29,0,-627.0,2018-10-19
2018-10-23,BITCOIN,3001,1659,1400,0,161,259.0,2018-10-26
2018-10-23,BITCOIN-USD,3522,631,1314,0,0,-683.0,2018-10-26
2018-10-30,BITCOIN,2608,1789,1511,0,238,278.0,2018-11-02
2018-10-30,BITCOIN-USD,3615,565,1061,0,29,-496.0,2018-11-02
2018-11-06,BITCOIN,2913,1877,1965,72,108,-88.0,2018-11-09
2018-11-06,BITCOIN-USD,3465,335,1034,31,0,-699.0,2018-11-09
2018-11-13,BITCOIN,3530,2462,2353,0,250,109.0,2018-11-16
2018-11-13,BITCOIN-USD,3670,564,1119,0,0,-555.0,2018-11-16
2018-11-20,BITCOIN,3729,2152,1912,0,166,240.0,2018-11-23
2018-11-20,BITCOIN-USD,3476,483,712,0,150,-229.0,2018-11-23
2018-11-27,BITCOIN,3791,2416,2089,0,238,327.0,2018-11-30
2018-11-27,BITCOIN-USD,3796,639,1022,0,150,-383.0,2018-11-30
2018-12-04,BITCOIN,3301,2409,2317,34,123,92.0,2018-12-07
2018-12-04,BITCOIN-USD,3822,768,1283,0,150,-515.0,2018-12-07
2018-12-11,BITCOIN,3970,2905,2699,27,256,206.0,2018-12-14
