# CFTC public record (grade-A leg, board 2026-09-14); knowable_at = report Tuesday + 3 days (point-in-time rule).
report_date,contract_market_name,open_interest_all,lev_money_long,lev_money_short,asset_mgr_long,asset_mgr_short,lev_money_net,knowable_at
2022-03-15,ETHER CASH SETTLED,2879,832,1972,0,169,-1140.0,2022-03-18
2022-03-15,MICRO ETHER,25167,12081,12552,88,0,-471.0,2022-03-18
2022-03-22,ETHER CASH SETTLED,3358,943,2233,0,106,-1290.0,2022-03-25
2022-03-22,MICRO ETHER,29130,14470,21925,88,0,-7455.0,2022-03-25
2022-03-29,ETHER CASH SETTLED,3411,900,2583,46,0,-1683.0,2022-04-01
2022-03-29,MICRO ETHER,22168,3117,18958,88,0,-15841.0,2022-04-01
2022-04-05,ETHER CASH SETTLED,3501,990,2568,12,0,-1578.0,2022-04-08
2022-04-05,MICRO ETHER,23482,3921,19266,98,0,-15345.0,2022-04-08
2022-04-12,ETHER CASH SETTLED,3287,921,2437,0,122,-1516.0,2022-04-15
2022-04-12,MICRO ETHER,31542,16711,9128,88,0,7583.0,2022-04-15
2022-04-19,ETHER CASH SETTLED,3254,884,2417,0,63,-1533.0,2022-04-22
2022-04-19,MICRO ETHER,49402,32545,7934,138,0,24611.0,2022-04-22
2022-04-26,ETHER CASH SETTLED,3745,1235,2616,0,126,-1381.0,2022-04-29
2022-04-26,MICRO ETHER,45357,29181,9682,0,0,19499.0,2022-04-29
2022-05-03,ETHER CASH SETTLED,2981,888,2161,0,128,-1273.0,2022-05-06
2022-05-03,MICRO ETHER,38453,28123,22652,0,0,5471.0,2022-05-06
2022-05-10,ETHER CASH SETTLED,3443,857,2366,0,249,-1509.0,2022-05-13
2022-05-10,MICRO ETHER,44843,33310,27936,0,0,5374.0,2022-05-13
2022-05-17,ETHER CASH SETTLED,3646,749,2340,0,252,-1591.0,2022-05-20
2022-05-17,MICRO ETHER,78833,65524,55133,88,0,10391.0,2022-05-20
2022-05-24,ETHER CASH SETTLED,3443,983,2126,0,274,-1143.0,2022-05-27
2022-05-24,MICRO ETHER,90934,77946,66520,88,240,11426.0,2022-05-27
2022-05-31,ETHER CASH SETTLED,3086,900,2013,0,322,-1113.0,2022-06-03
2022-05-31,MICRO ETHER,25172,2141,19563,88,280,-17422.0,2022-06-03
2022-06-07,ETHER CASH SETTLED,3072,1010,1812,0,366,-802.0,2022-06-10
2022-06-07,MICRO ETHER,28351,4735,21074,88,386,-16339.0,2022-06-10
2022-06-14,ETHER CASH SETTLED,3476,899,1785,0,614,-886.0,2022-06-17
2022-06-14,MICRO ETHER,31968,1345,21842,138,386,-20497.0,2022-06-17
2022-06-21,ETHER CASH SETTLED,3615,977,1767,0,569,-790.0,2022-06-24
2022-06-21,MICRO ETHER,34662,1717,23694,138,1318,-21977.0,2022-06-24
2022-06-28,ETHER CASH SETTLED,3967,1499,2175,0,449,-676.0,2022-07-01
2022-06-28,MICRO ETHER,33529,9811,21925,138,1489,-12114.0,2022-07-01
2022-07-05,ETHER CASH SETTLED,3905,1335,2060,0,582,-725.0,2022-07-08
2022-07-05,MICRO ETHER,45258,19501,29794,41,1684,-10293.0,2022-07-08
2022-07-12,ETHER CASH SETTLED,4312,1836,2197,0,634,-361.0,2022-07-15
2022-07-12,MICRO ETHER,42908,15094,25060,138,1754,-9966.0,2022-07-15
2022-07-19,ETHER CASH SETTLED,3608,1331,1718,0,441,-387.0,2022-07-22
2022-07-19,MICRO ETHER,40910,14558,28927,218,1750,-14369.0,2022-07-22
2022-07-26,ETHER CASH SETTLED,3533,1179,1452,0,394,-273.0,2022-07-29
2022-07-26,MICRO ETHER,47484,18573,33717,178,1256,-15144.0,2022-07-29
2022-08-02,ETHER CASH SETTLED,3485,945,1969,0,240,-1024.0,2022-08-05
2022-08-02,MICRO ETHER,46162,23824,38872,278,856,-15048.0,2022-08-05
2022-08-09,ETHER CASH SETTLED,3481,936,1792,0,96,-856.0,2022-08-12
2022-08-09,MICRO ETHER,43759,22648,36079,154,116,-13431.0,2022-08-12
2022-08-16,ETHER CASH SETTLED,4014,985,1956,287,0,-971.0,2022-08-19
2022-08-16,MICRO ETHER,45964,22009,37895,341,0,-15886.0,2022-08-19
2022-08-23,ETHER CASH SETTLED,3978,705,1799,169,30,-1094.0,2022-08-26
2022-08-23,MICRO ETHER,63910,31926,46802,470,0,-14876.0,2022-08-26
2022-08-30,ETHER CASH SETTLED,4155,1578,2662,205,92,-1084.0,2022-09-02
2022-08-30,MICRO ETHER,44411,28745,29046,489,0,-301.0,2022-09-02
2022-09-06,ETHER CASH SETTLED,4452,1700,2780,401,146,-1080.0,2022-09-09
2022-09-06,MICRO ETHER,47664,30990,27263,505,0,3727.0,2022-09-09
2022-09-13,ETHER CASH SETTLED,4125,1206,2458,303,110,-1252.0,2022-09-16
2022-09-13,MICRO ETHER,47432,29529,24179,373,0,5350.0,2022-09-16
2022-09-20,ETHER CASH SETTLED,4359,1302,1991,98,152,-689.0,2022-09-23
2022-09-20,MICRO ETHER,51893,35014,24779,238,107,10235.0,2022-09-23
2022-09-27,ETHER CASH SETTLED,4687,1375,2173,86,238,-798.0,2022-09-30
2022-09-27,MICRO ETHER,57623,40290,33102,138,293,7188.0,2022-09-30
2022-10-04,ETHER CASH SETTLED,3812,1448,1374,116,284,74.0,2022-10-07
2022-10-04,MICRO ETHER,39267,17900,24287,138,2175,-6387.0,2022-10-07
2022-10-11,ETHER CASH SETTLED,3871,1639,1951,0,385,-312.0,2022-10-14
2022-10-11,MICRO ETHER,46941,26354,30829,138,2797,-4475.0,2022-10-14
2022-10-18,ETHER CASH SETTLED,4052,1179,2199,0,489,-1020.0,2022-10-21
2022-10-18,MICRO ETHER,45160,25943,33611,138,2646,-7668.0,2022-10-21
2022-10-25,ETHER CASH SETTLED,4808,1394,2557,192,448,-1163.0,2022-10-28
2022-10-25,MICRO ETHER,46583,26957,35452,138,2646,-8495.0,2022-10-28
2022-11-01,ETHER CASH SETTLED,3279,1230,1834,325,277,-604.0,2022-11-04
2022-11-01,MICRO ETHER,26032,8026,18650,138,1674,-10624.0,2022-11-04
2022-11-08,ETHER CASH SETTLED,3246,1247,941,88,515,306.0,2022-11-11
2022-11-08,MICRO ETHER,20229,3385,14654,138,0,-11269.0,2022-11-11
2022-11-15,ETHER CASH SETTLED,5653,3386,2420,0,786,966.0,2022-11-18
2022-11-15,MICRO ETHER,31606,10682,13864,138,270,-3182.0,2022-11-18
2022-11-22,ETHER CASH SETTLED,6592,3532,2669,34,1009,863.0,2022-11-25
2022-11-22,MICRO ETHER,58332,39939,36512,212,852,3427.0,2022-11-25
2022-11-29,ETHER CASH SETTLED,5647,2585,2324,34,817,261.0,2022-12-02
2022-11-29,MICRO ETHER,23446,5465,10596,138,1685,-5131.0,2022-12-02
2022-12-06,ETHER CASH SETTLED,5272,2141,2071,34,608,70.0,2022-12-09
2022-12-06,MICRO ETHER,22300,5234,10364,138,1657,-5130.0,2022-12-09
2022-12-13,ETHER CASH SETTLED,4736,2064,1694,34,519,370.0,2022-12-16
2022-12-13,MICRO ETHER,24838,5460,15119,138,1822,-9659.0,2022-12-16
2022-12-20,ETHER CASH SETTLED,5698,2448,2283,34,655,165.0,2022-12-23
2022-12-20,MICRO ETHER,24910,6860,7769,0,2395,-909.0,2022-12-23
2022-12-27,ETHER CASH SETTLED,6199,2575,2302,34,581,273.0,2022-12-30
2022-12-27,MICRO ETHER,25435,4947,7335,0,2299,-2388.0,2022-12-30
2023-01-03,ETHER CASH SETTLED,5977,3069,2493,34,653,576.0,2023-01-06
2023-01-03,MICRO ETHER,17838,4643,8622,0,2477,-3979.0,2023-01-06
2023-01-10,ETHER CASH SETTLED,5442,2788,2385,166,266,403.0,2023-01-13
2023-01-10,MICRO ETHER,17144,2345,6458,0,2609,-4113.0,2023-01-13
2023-01-17,ETHER CASH SETTLED,5585,2859,1837,454,164,1022.0,2023-01-20
2023-01-17,MICRO ETHER,19274,3917,7206,536,146,-3289.0,2023-01-20
2023-01-24,ETHER CASH SETTLED,5047,2495,1930,447,102,565.0,2023-01-27
2023-01-24,MICRO ETHER,20608,5108,10197,957,556,-5089.0,2023-01-27
2023-01-31,ETHER CASH SETTLED,4331,2036,2175,278,154,-139.0,2023-02-03
2023-01-31,MICRO ETHER,14183,554,10832,1241,0,-10278.0,2023-02-03
2023-02-07,ETHER CASH SETTLED,4659,2007,2447,531,134,-440.0,2023-02-10
2023-02-07,MICRO ETHER,19014,2928,9942,1318,0,-7014.0,2023-02-10
2023-02-14,ETHER CASH SETTLED,4372,1617,2430,554,146,-813.0,2023-02-17
2023-02-14,MICRO ETHER,17858,2564,5516,1030,412,-2952.0,2023-02-17
2023-02-21,ETHER CASH SETTLED,4700,1689,2477,851,102,-788.0,2023-02-24
2023-02-21,MICRO ETHER,19953,2515,5292,1154,166,-2777.0,2023-02-24
2023-02-28,ETHER CASH SETTLED,4126,1489,2540,999,129,-1051.0,2023-03-03
2023-02-28,MICRO ETHER,13223,1429,8239,1401,0,-6810.0,2023-03-03
2023-03-07,ETHER CASH SETTLED,3588,1370,1790,720,225,-420.0,2023-03-10
2023-03-07,MICRO ETHER,16097,1108,5504,1270,0,-4396.0,2023-03-10
2023-03-14,ETHER CASH SETTLED,4442,1839,2299,584,181,-460.0,2023-03-17
2023-03-14,MICRO ETHER,21668,3456,11252,79,45,-7796.0,2023-03-17
2023-03-21,ETHER CASH SETTLED,4571,1895,2492,957,162,-597.0,2023-03-24
2023-03-21,MICRO ETHER,22136,3450,11851,79,71,-8401.0,2023-03-24
2023-03-28,ETHER CASH SETTLED,4119,1647,2376,835,126,-729.0,2023-03-31
2023-03-28,MICRO ETHER,25299,4230,15075,243,0,-10845.0,2023-03-31
2023-04-04,ETHER CASH SETTLED,4730,2016,2930,867,98,-914.0,2023-04-07
2023-04-04,MICRO ETHER,11591,549,5974,78,0,-5425.0,2023-04-07
2023-04-11,ETHER CASH SETTLED,4416,1814,2408,941,98,-594.0,2023-04-14
2023-04-11,MICRO ETHER,13295,703,6507,115,0,-5804.0,2023-04-14
2023-04-18,ETHER CASH SETTLED,6248,3436,3609,1065,77,-173.0,2023-04-21
2023-04-18,MICRO ETHER,14102,614,4955,78,0,-4341.0,2023-04-21
2023-04-25,ETHER CASH SETTLED,3894,1808,2092,623,77,-284.0,2023-04-28
2023-04-25,MICRO ETHER,17407,804,2557,1399,31,-1753.0,2023-04-28
