utc,status,health_code,topics_code,topics_secs,prewarm_last_run,prewarm_error_feeds,note
2026-09-14T01:02:07Z,DOWN,200,503,25.0,2026-09-14T01:16:35Z,"scores;topics",seeded from founder Heroku logs + /prewarm screenshot (statement-timeout outage)
2026-09-14T02:07:57Z,UP,200,200,0.1,,"",state change
